timestamp_ms,id_hex,id_dec,pid_hex,data_len,data_hex,error,baud,source
2855,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-0D,0,19200,raw
3401,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-0F,0,19200,raw
4023,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-01,0,19200,raw
4655,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-03,0,19200,raw
5231,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-05,0,19200,raw
5851,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-07,0,19200,raw
6163,0x0C,12,0x4C,8,11-04-00-00-00-00-C0-08,0,19200,raw
6414,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-09,0,19200,raw
7035,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-0B,0,19200,raw
7610,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-0D,0,19200,raw
8248,0x0C,12,0x4C,8,0F-04-00-00-00-00-C0-0F,0,19200,raw
